Какие есть способы написания функции?;	a) While function;	b) Def function;	c) Class function;	b) Def function
Что такое Join?;	a)function;	b)object;	c)metod;	c)metod
Что такое While?;	a)cycle;	b)function;	c)metod;	a)cycle
Для чего нужен input?;	a)reading;	b)print;	c)function;	a)reading
В каком году был создан?; a)1991; b)1889; c)1985; a)1991
Что такое elif?; a)operator; b)function; c)object; a)operator
Какая функция возвращает значения?; a)return; b)object; c)cycle; a)return
Что такое For?; a)cycle; b)object; c)function; a)cycle
Функция, отвечающая за списки; a)for; b) While; c)list; c)list
Что такое Python?; a)language; b)class; c)cycle; a)language
Для чего нужен print?; a)show items; b)cycle; c) object; a)show items
Является ли Python высокоуровневым языком?; a)yes; b)no; c)no correct answer; a)yes
Что будет в результате выполнения программы print(hello world)?; a)mistake; b)will run; c)correct; b)will run
Что такое else?; a)function; b)operator; c)return; b)operator
Что такое if?; a)operator; b)object; c)cycle; a)operator
Результат выполнения print("hello world); a)mistake; b)correct; c)show items; a)mistake
Что такое class в Python?; a)two different objects; b) one different objects; c)object; a) two different objects
Основатель Python; a)Guido van Rossum; b)James Gosling; c)Mark Miller; a)Guido van Rossum
Как считать файл?; a)with write; b)with open; c) write open; b)with open
За что отвечает newline?; a)Read all lines; b)Column reading; c)Reading the word; a)Read all lines


